Word	[ (Document1, Count1), ... ]
1865legally	(21, 1) 
1865on	(21, 1) 
1866	(21, 2) 
1866–2018languagesboth	(20, 1) 
1868	(21, 2) 
1870	(21, 3) (20, 5) (27, 1) 
1870s	(20, 3) 
1870–1918	(20, 1) 
1871	(20, 7) (21, 1) 
1871-1914	(20, 1) 
1871-1918	(20, 1) 
1871–1918state	(20, 1) 
1872	(20, 4) (21, 3) 
1872/73	(20, 1) 
1873	(20, 1) 
1874	(20, 5) (21, 1) 
1874014catholic	(20, 1) 
1874–1912the	(20, 1) 
18750	(20, 1) 
1876	(2, 1) 
1877	(20, 4) (21, 2) 
1877–1935	(17, 1) 
1878	(26, 1) 
1879	(22, 2) (17, 2) (20, 3) 
187air	(10, 1) 
187th	(10, 5) 
1880	(26, 1) (20, 1) (17, 1) 
1880s	(27, 1) 
1881	(21, 1) (26, 1) (22, 1) 
1882	(2, 1) 
1883	(2, 1) (22, 1) 
18848	(5, 1) 
1885	(21, 1) 
18860-tonne	(13, 1) (12, 1) 
1887	(21, 1) (20, 1) 
1887%	(20, 1) 
1889	(2, 2) 
1890	(20, 2) (21, 2) 
1890an	(22, 1) 
1890reichstag	(20, 1) 
1890s	(21, 1) 
1892	(20, 1) 
1894	(2, 1) (21, 1) (17, 2) 
1895	(17, 2) (20, 1) (21, 2) (2, 1) 
1896	(17, 2) 
1897	(17, 1) (2, 1) 
1898	(2, 1) 
1899	(21, 1) 
18th	(25, 1) (20, 1) 
19	(21, 2) (10, 2) (17, 1) (19, 2) (2, 1) (8, 1) (22, 2) (5, 2) 
19#2	(25, 1) 
19-year-old	(2, 1) 
190	(8, 1) 
1900	(17, 6) (20, 1) (14, 1) (2, 2) (22, 2) 
19000-tonne	(12, 1) (13, 1) 
190000	(21, 1) (5, 1) 
1900german	(20, 1) 
1900s	(2, 1) 
1901	(17, 3) 
1902	(17, 2) 
1902–1903	(17, 1) 
1903	(17, 5) (2, 1) (13, 1) (20, 1) (12, 1) 
1904	(2, 1) (17, 2) 
1905	(17, 9) (2, 1) (20, 2) (26, 1) 
1905—his	(17, 1) 
1906	(17, 2) 
1907	(17, 5) (2, 2) 
1908	(17, 4) 
1909	(17, 2) (2, 1) 
1910	(12, 1) (27, 2) (7, 1) (17, 1) (13, 1) (20, 2) 
1910population	(20, 1) 
1910that	(20, 1) 
1911	(20, 4) (27, 1) (3, 1) (12, 1) (18, 1) (13, 1) (7, 1) (17, 4) (4, 1) 
