Word	[ (Document1, Count1), ... ]
formations	(8, 2) (27, 2) (24, 2) (10, 5) (9, 1) (4, 1) 
formed	(27, 5) (21, 5) (5, 2) (18, 1) (26, 1) (8, 2) (7, 6) (17, 2) (19, 3) (10, 6) (24, 4) (20, 5) (22, 2) (2, 3) (23, 1) 
former	(23, 4) (17, 4) (25, 1) (21, 9) (27, 2) (12, 1) (28, 1) (2, 8) (16, 1) (10, 4) (19, 3) (20, 2) (13, 1) 
formerly	(27, 2) (26, 1) (20, 1) 
formic	(26, 1) 
formica	(26, 1) 
formicaria	(26, 1) 
formicidae	(26, 3) 
formicine	(26, 1) 
formics	(26, 1) 
formidable	(21, 1) (8, 1) (24, 1) (30, 1) 
formiga	(26, 1) 
forming	(23, 1) (21, 2) (27, 2) (24, 1) 
forms	(26, 5) (27, 1) (8, 1) (2, 2) (11, 1) (22, 1) 
formsimperial	(20, 1) 
formula	(17, 1) 
formulate	(25, 1) 
formulated	(17, 1) (21, 1) (22, 1) (8, 1) 
formulation	(17, 1) 
formīca	(26, 1) 
forrest	(21, 1) 
forsaking	(17, 1) 
forster	(2, 2) 
forsters	(2, 1) 
fort	(5, 1) (23, 2) (22, 4) (21, 22) (10, 2) (19, 1) 
forthcoming	(21, 1) 
fortification	(20, 1) 
fortifications	(20, 2) (21, 1) (24, 1) (10, 1) (22, 1) 
fortified	(22, 2) (15, 1) (30, 1) (24, 3) 
fortifying	(22, 1) 
fortress	(22, 1) (20, 1) (21, 1) (9, 1) (10, 2) 
fortresses	(22, 2) (24, 1) (27, 1) 
fortresss	(22, 1) 
forts	(22, 1) (27, 1) (21, 9) 
fortthe	(25, 1) 
forty	(15, 1) 
forward	(21, 1) (10, 2) (22, 5) (12, 8) (2, 2) (13, 8) (17, 1) (19, 2) (23, 1) 
forward-deployed	(5, 1) 
forward-firing	(6, 1) 
forwards	(24, 1) 
fosdick	(17, 1) 
fossil	(26, 5) 
fossils	(26, 3) 
fost	(12, 1) (13, 1) 
fostered	(2, 1) 
foudre	(13, 1) (12, 1) 
fought	(2, 2) (23, 1) (25, 2) (20, 1) (21, 15) (18, 2) (22, 3) (10, 2) (17, 1) (24, 18) (19, 5) 
fouling	(22, 1) 
found	(22, 2) (19, 3) (23, 1) (12, 1) (26, 16) (8, 3) (2, 3) (18, 2) (21, 6) (20, 1) (24, 9) (27, 5) (17, 7) (13, 1) (6, 1) 
foundation	(22, 1) (5, 1) (20, 2) (17, 4) (24, 1) 
foundationfederal	(17, 1) 
foundations	(25, 1) (8, 1) (24, 1) 
foundationstatements	(21, 1) 
foundationzero-point	(17, 1) 
founded	(17, 3) (25, 1) (23, 1) (7, 4) (2, 1) 
founder	(24, 1) 
founders	(2, 1) (17, 1) 
founding	(17, 1) (21, 1) 
four	(21, 9) (17, 7) (2, 6) (24, 3) (26, 1) (19, 2) (12, 6) (4, 1) (7, 3) (23, 2) (18, 1) (25, 1) (22, 6) (8, 3) (13, 6) (9, 2) (16, 1) (14, 1) (28, 2) (20, 1) (5, 3) (10, 6) (27, 6) 
four-dimensional	(17, 1) 
four-fifths	(20, 1) 
four-month	(5, 1) 
four-wheel	(27, 2) 
four-year	(2, 1) (17, 1) 
fourmi	(26, 1) 
fourmis	(26, 1) 
fournes-en-weppes	(2, 1) 
fourteen	(17, 1) (12, 2) (13, 2) 
fourth	(25, 3) (21, 1) (24, 1) (2, 2) (26, 2) 
fox	(19, 1) 
fraction	(24, 1) (27, 1) 
fractious	(17, 1) 
fragile	(24, 1) 
fragmentation	(21, 1) (23, 1) (3, 1) 
fragments	(27, 1) 
frame	(17, 1) (9, 1) 
framed	(26, 1) (17, 1) 
framework	(17, 1) 
framing	(21, 1) 
franca	(20, 1) 
france	(20, 35) (9, 1) (27, 4) (25, 3) (19, 2) (13, 8) (18, 2) (7, 1) (21, 6) (8, 4) (22, 4) (30, 5) (12, 8) (10, 8) (2, 14) 
france4th	(5, 1) 
francegerman	(20, 1) 
franceon	(10, 1) 
franceotherother	(22, 1) 
frances	(5, 1) (20, 1) (21, 2) 
franceshort	(13, 1) (12, 1) 
francethe	(20, 1) 
francis	(21, 3) (18, 1) (17, 1) (25, 1) 
francisco	(2, 1) (21, 1) (12, 1) (13, 1) 
francization	(20, 1) 
franco	(2, 1) 
franco-dutch	(25, 1) 
franco-german	(20, 1) 
franco-prussian	(20, 6) (27, 1) 
franco-spanish	(22, 2) 
franconian	(20, 12) 
franconian/luxembourgish	(20, 1) 
francophone	(20, 1) 
francs	(20, 1) 
francs-tireurs	(20, 1) 
frank	(2, 4) (19, 1) (10, 1) (21, 1) 
frankenberger	(2, 2) 
frankenbergers	(2, 1) 
frankfort	(21, 1) 
frankfurt	(20, 3) 
franklin	(21, 2) (17, 1) (2, 1) (10, 1) (8, 1) 
franklin–nashville	(21, 1) 
frantz	(6, 1) 
franz	(21, 1) (2, 2) 
françois	(20, 1) 
frederic	(20, 1) (17, 1) 
frederick	(17, 1) (25, 1) (21, 2) (10, 2) (19, 1) 
fredericksburg	(21, 2) 
free	(21, 23) (17, 3) (22, 1) (15, 2) (2, 1) (8, 1) (27, 1) (24, 1) (25, 1) (5, 1) (10, 5) (26, 1) (29, 1) 
free-falling	(17, 1) 
free-soil	(21, 2) 
freed	(21, 8) 
freedmen	(21, 1) 
freedom	(21, 2) (17, 1) (20, 1) (2, 1) (24, 1) (10, 1) 
freedombattle	(21, 1) 
freeing	(21, 1) 
freely	(20, 1) (17, 3) (8, 1) 
freeman	(21, 2) 
freight	(25, 1) 
freiheit	(2, 1) 
fremm	(28, 1) 
fremont	(19, 2) (21, 1) 
french	(21, 2) (8, 3) (10, 13) (13, 10) (29, 3) (6, 1) (27, 5) (22, 18) (20, 57) (1, 1) (15, 7) (19, 27) (2, 1) (26, 3) (7, 1) (12, 10) (28, 1) (25, 5) (5, 7) (30, 3) 
french-controlled	(22, 1) 
french-german	(20, 1) 
french-influenced	(20, 1) 
french-language	(20, 1) 
french-led	(19, 1) 
french-made	(8, 1) 
french-speaking	(20, 1) 
frenchlorrain	(20, 1) 
frenzied	(24, 1) 
frenzy	(26, 1) (2, 1) 
frequencies	(9, 1) 
frequency	(21, 1) (17, 2) 
frequent	(2, 1) 
frequently	(2, 1) (21, 1) (9, 1) (27, 2) (23, 1) (20, 1) 
fresh	(20, 1) (21, 1) (2, 2) 
freshly	(26, 1) 
freshmen	(17, 1) 
frick	(2, 1) 
friedmann–einstein	(17, 1) 
friedrich	(2, 2) (15, 1) 
friend	(2, 1) (17, 7) (27, 2) 
friendly	(27, 2) (21, 1) (19, 1) (10, 3) (4, 1) (9, 2) (17, 1) (2, 1) (15, 1) (8, 4) (14, 1) (28, 1) 
friendlyweapons	(27, 1) 
friends	(27, 1) (17, 4) (2, 1) 
friendship	(17, 2) (24, 1) 
frigate	(28, 8) 
frigates	(9, 1) (27, 1) 
frigatesrheinmetall	(27, 1) 
frightening	(20, 1) 
fritsch	(2, 1) 
fritz	(28, 2) 
frogs	(26, 1) 
from	(26, 67) (28, 11) (27, 44) (4, 9) (18, 4) (22, 41) (21, 65) (13, 49) (29, 12) (24, 51) (10, 49) (30, 9) (3, 5) (19, 49) (6, 4) (1, 1) (2, 59) (9, 9) (14, 3) (5, 20) (23, 25) (17, 56) (11, 7) (16, 4) (20, 37) (8, 15) (25, 16) (7, 8) (15, 28) (12, 49) 
front	(12, 1) (21, 2) (22, 3) (19, 15) (24, 2) (13, 1) (29, 2) (10, 1) (30, 1) (1, 2) (2, 7) (7, 1) (20, 3) (8, 2) 
front-line	(27, 1) (19, 1) 
frontal	(21, 1) (22, 1) 
frontby	(19, 1) 
frontgallipolithe	(22, 1) 
frontier	(21, 1) (24, 2) (20, 2) (5, 1) 
frontoperation	(10, 1) 
fronts	(8, 2) (19, 1) 
frontson	(19, 1) 
frontthe	(19, 1) 
frost	(26, 1) (10, 1) 
fruit	(2, 1) 
fruiting	(26, 1) 
fruition	(25, 1) 
fruitless	(19, 1) 
fruits	(26, 1) 
fréjus	(10, 1) 
frémont	(21, 1) 
ft	(10, 1) (12, 7) (22, 1) (27, 1) (13, 7) (26, 1) (9, 2) (30, 2) 
fu	(23, 1) 
fuel	(21, 2) (8, 1) (28, 1) (22, 3) (10, 1) (12, 9) (15, 1) (13, 9) (11, 1) 
fueled	(13, 3) (12, 3) 
fuerboch	(20, 1) 
fuerzas	(5, 1) 
fugitive	(21, 5) 
fulfil	(4, 1) 
fulfill	(18, 2) (9, 1) 
fulfilled	(2, 2) 
fulfilling	(21, 1) (5, 1) 
fulfillment	(18, 1) (24, 1) 
full	(24, 1) (2, 2) (27, 2) (20, 1) (10, 1) (22, 1) (12, 8) (17, 1) (26, 1) (13, 8) (19, 2) 
full-fledged	(24, 1) 
full-length	(13, 1) (12, 1) 
full-scale	(22, 1) 
full-size	(17, 1) 
full-time	(2, 1) (24, 1) 
fullest	(25, 1) 
fully	(17, 3) (10, 1) (8, 1) (27, 1) (28, 1) (2, 1) (22, 1) (5, 1) (13, 1) (12, 1) (26, 3) 
fully-loaded	(12, 1) (13, 1) 
fumes	(13, 1) (12, 1) 
function	(12, 2) (27, 1) (8, 1) (20, 2) (13, 2) 
functional	(24, 1) (27, 1) 
functionaries	(2, 1) 
functioned	(23, 1) 
functions	(13, 1) (12, 1) (3, 1) (22, 1) (26, 1) 
functionswhat	(24, 1) 
fundamental	(26, 1) (12, 1) (13, 1) (10, 1) (17, 8) (22, 1) 
fundamentally	(22, 1) (21, 1) (2, 1) 
funding	(19, 1) (13, 2) (12, 2) (23, 1) (27, 1) 
fundraising	(2, 1) 
funds	(2, 1) (27, 1) (17, 1) 
fungal	(26, 1) 
fungi	(26, 3) 
funginavigationforaging	(26, 1) 
fungus	(26, 10) 
fungus-growing	(26, 1) 
funnel	(12, 3) (13, 3) 
furious	(13, 4) (12, 4) 
furlong	(27, 1) 
furnică	(26, 1) 
furnished	(23, 1) 
further	(23, 5) (27, 2) (21, 9) (10, 3) (24, 4) (13, 3) (22, 6) (29, 2) (17, 2) (19, 6) (2, 3) (26, 2) (12, 3) (28, 1) (20, 1) 
furthermore	(27, 2) (23, 1) (4, 1) 
furthest	(19, 1) 
fury—all	(8, 1) 
fuse	(27, 20) (26, 1) 
fused	(26, 2) (27, 2) 
fuselage	(9, 3) 
fuses	(27, 5) 
fuseshigher	(27, 1) 
fusiliersslavo-british	(19, 1) 
fusing	(29, 1) 
fusion	(26, 2) 
fustian	(10, 1) 
futile	(21, 1) 
future	(21, 3) (10, 2) (26, 2) (8, 3) (20, 2) (25, 2) (19, 2) (27, 5) (17, 2) (24, 1) (13, 6) (22, 2) (29, 1) (12, 6) 
fuzail	(15, 1) 
fuze	(3, 3) 
fuzes	(3, 1) (8, 1) 
fuzing	(27, 2) 
fw	(8, 1) (9, 1) 
fyshwick	(9, 1) 
führer	(20, 1) (2, 3) 
führerbunker	(2, 3) 
führerprinzip	(2, 1) 
führers	(2, 1) 
für	(17, 1) 
g	(2, 1) (21, 3) (26, 1) (4, 1) (24, 1) (5, 2) 
g550	(9, 1) 
gabbard	(25, 1) 
gain	(21, 1) (13, 1) (10, 1) (2, 2) (6, 2) (4, 1) (19, 1) (27, 1) (8, 2) (24, 4) (12, 1) 
gained	(25, 1) (21, 3) (19, 2) (2, 4) (24, 2) (22, 2) (8, 2) (20, 1) 
gainentry	(2, 1) 
gaining	(10, 1) (8, 2) (22, 1) (7, 1) 
gains	(2, 1) (19, 1) (23, 1) (21, 1) 
gains—though	(21, 1) 
galaxies	(17, 2) 
galaxy	(15, 1) 
galaxyxian	(15, 1) 
galeazzo	(2, 1) 
gallagher	(21, 1) 
galleons	(12, 1) (13, 1) 
galleys	(24, 1) 
gallic	(24, 1) 
gallicized	(20, 1) 
galling	(21, 1) 
gallipoli	(22, 9) 
gallipolimarinesin	(22, 1) 
gallons	(22, 2) 
galveston	(22, 1) 
gamal	(12, 1) (13, 1) (8, 1) 
gambut	(10, 1) 
game	(26, 2) (8, 1) (21, 1) 
gamergate	(26, 1) 
gamergates	(26, 1) 
games	(26, 2) (2, 3) 
gamessee	(21, 1) 
gamil	(10, 1) 
gamow	(17, 1) 
gandhi	(17, 5) 
gandhis	(17, 1) 
gangas	(24, 1) 
ganges	(24, 1) 
ganglia	(26, 1) 
gangways	(22, 1) 
gannet	(9, 4) 
gannets	(9, 1) 
gao	(23, 9) 
gap	(22, 1) (27, 2) (25, 1) 
gaps	(9, 1) (26, 1) 
garden	(24, 1) (17, 1) (10, 5) (2, 3) 
gardens	(26, 2) 
garette	(4, 1) 
garfield	(21, 1) 
garibaldi	(9, 1) (13, 3) (12, 3) 
garm	(15, 1) 
garmisch-partenkirchen	(2, 1) 
garnering	(2, 1) 
garrison	(2, 1) (21, 3) (27, 1) (22, 2) (19, 2) (8, 1) (10, 1) 
garrisoned	(24, 1) 
garrisoning	(22, 1) 
garrisons	(24, 1) (23, 3) 
garros	(6, 1) 
garud	(7, 1) 
gary	(21, 1) 
gas	(2, 2) (19, 3) (17, 2) (1, 1) 
gas-turbines	(12, 1) (13, 1) 
gases	(26, 1) 
gasoline	(22, 1) (10, 1) 
gaster	(26, 4) 
gasters	(26, 5) 
gates	(21, 1) 
gateway	(21, 1) 
gather	(26, 1) (24, 1) (19, 1) 
gathered	(26, 2) (23, 2) (22, 1) 
gathering	(22, 1) (23, 1) (24, 1) 
gatheringthe	(23, 1) 
gatling	(21, 1) (27, 3) 
gau-8	(27, 1) 
gaugamela	(24, 1) 
gauge	(13, 1) (17, 3) (12, 1) 
gauleiters	(2, 1) 
gaulle	(12, 3) (13, 3) 
gauls	(24, 2) 
gauntlet9m311	(28, 1) 
gave	(13, 2) (21, 3) (25, 1) (7, 1) (19, 1) (20, 1) (23, 1) (5, 2) (24, 2) (12, 2) (8, 1) (18, 1) (27, 1) (2, 7) (17, 9) (22, 4) (29, 1) 
gavins	(10, 1) 
gavotti	(3, 1) 
gazette	(22, 1) 
gbad	(27, 2) 
gbp	(13, 1) (12, 1) 
gbu-43/b	(14, 1) 
gce	(5, 1) 
gdf-002	(27, 1) 
gear	(22, 1) (8, 1) 
geared	(13, 1) (12, 1) 
gearstaff	(12, 1) (13, 1) 
gecko9m330	(28, 1) 
geckoon	(27, 1) 
geese	(1, 1) 
gefreiter	(2, 1) 
geiger	(5, 1) 
geilenkirchen	(9, 1) 
gel	(26, 1) 
geli	(2, 2) 
gelvesthe	(22, 1) 
gemlich	(2, 2) 
gen	(21, 20) (19, 3) (22, 1) 
gene	(26, 2) 
genera	(26, 12) 
general	(22, 3) (21, 34) (10, 10) (7, 1) (27, 5) (25, 6) (2, 7) (9, 1) (29, 1) (6, 1) (23, 20) (20, 1) (19, 11) (5, 4) (8, 3) (24, 4) (17, 26) (16, 1) 
general-in-chief	(21, 2) 
generalist	(26, 1) 
generalists	(26, 1) 
generalized	(17, 2) 
generalizing	(17, 1) 
generally	(17, 3) (21, 2) (23, 1) (13, 4) (2, 2) (27, 3) (25, 1) (29, 3) (4, 1) (12, 4) (24, 3) (8, 1) 
generalplan	(2, 2) 
generals	(2, 5) (21, 6) (10, 1) (23, 13) (24, 5) (19, 4) (20, 1) 
generalsimplosion	(23, 1) 
generate	(13, 1) (12, 1) 
generating	(22, 1) 
generation	(12, 2) (17, 1) (8, 1) (29, 14) (27, 1) (13, 2) (26, 2) (30, 2) 
generations	(29, 1) (23, 1) (8, 1) (21, 1) (17, 1) (27, 1) 
generators	(27, 1) 
generic	(27, 1) 
generous	(21, 1) (20, 1) 
genetic	(26, 3) 
genetics	(26, 2) 
geneva	(10, 1) 
geneva-based	(17, 1) 
genghis	(1, 1) 
geniculate	(26, 2) 
genie	(8, 1) 
genital	(26, 1) 
genitals	(23, 1) 
genius	(17, 3) 
geniusin	(17, 1) 
genji	(23, 1) 
genocidal	(2, 1) 
genocide	(2, 4) 
genome	(26, 2) 
genomes	(26, 1) 
gentle	(17, 1) 
gentlemans	(22, 1) 
genuine	(8, 1) (27, 1) 
genuinely	(21, 1) 
genus	(26, 5) 
geo-linguistic	(20, 1) 
geodesic	(17, 3) 
geoffrey	(22, 1) 
geographic	(21, 1) 
geographical	(23, 1) 
geometric	(17, 2) (6, 1) 
geometrical	(17, 1) 
geometry	(17, 6) 
geopolitical	(21, 1) 
georg	(2, 4) 
george	(21, 8) (17, 2) (25, 1) (9, 1) (22, 1) (27, 1) (19, 1) (10, 5) (18, 1) 
georges	(22, 2) 
georgi	(19, 1) 
georgia	(19, 3) (21, 10) (5, 1) 
georgian	(19, 1) 
georgiashermans	(21, 1) 
georgiathe	(21, 1) 
georgy	(2, 1) (19, 1) 
geotagged	(8, 1) 
gerald	(12, 5) (17, 1) (10, 1) (13, 5) 
gerard	(10, 1) 
gerhard	(2, 1) 
german	(2, 73) (12, 5) (19, 13) (5, 3) (30, 6) (6, 3) (7, 2) (15, 1) (8, 11) (20, 73) (29, 2) (1, 1) (10, 29) (13, 5) (9, 2) (11, 3) (17, 26) (14, 1) (22, 6) (27, 9) (26, 2) (28, 3) (3, 1) 
german-annexed	(20, 1) 
german-born	(17, 1) 
german-jewish	(17, 1) 
german-laid	(19, 1) 
german-language	(17, 1) 
german-linked	(20, 1) 
german-occupied	(10, 1) 
german-prussian	(20, 1) 
german-speaking	(20, 2) 
germanhttp//wwwelsass-lothringende/	(20, 1) 
germanhttps//webarchiveorg/web/20090730200508/http//geocitiescom/capitolhill/rotunda/2209/alsace_lorrainehtmlfrance	(20, 1) 
germania	(24, 2) 
germanic	(24, 13) (2, 2) (20, 2) (26, 1) 
germanisation	(2, 1) 
germanise	(2, 1) 
germanised	(2, 1) 
germanization	(20, 1) 
germanized	(20, 1) 
germanoberelsaß	(20, 1) 
germans	(20, 14) (19, 2) (5, 1) (15, 1) (7, 1) (8, 5) (2, 10) (10, 5) (17, 1) (11, 2) (27, 3) (22, 1) 
germansif	(20, 1) 
germansouth	(20, 1) 
germansthe	(20, 1) 
germany	(20, 25) (22, 1) (7, 2) (3, 1) (12, 1) (30, 1) (19, 4) (5, 2) (21, 1) (27, 14) (10, 4) (8, 8) (28, 1) (2, 45) (13, 1) (14, 1) (17, 9) (26, 1) 
germany/	(5, 1) 
germanychamberlain	(2, 1) 
germanyduring	(8, 1) 
germanyeconomy	(20, 1) (2, 1) 
germanyfrom	(20, 1) 
germanygare	(20, 1) 
germanyhitler	(2, 1) 
germanyin	(20, 1) 
germanyreichstag	(2, 1) 
germanys	(2, 12) (8, 6) (7, 1) (20, 2) (27, 1) (10, 1) (17, 3) 
germanythe	(15, 1) (20, 1) 
germanywhen	(20, 1) 
german–polish	(2, 1) 
germs	(2, 1) 
geschichtskulturen?	(20, 1) 
gesetz	(2, 1) 
geshu	(23, 1) 
gestapo	(17, 1) 
gesture	(10, 1) (21, 1) 
get	(21, 7) (23, 1) (2, 1) (24, 1) (6, 3) (19, 2) (10, 2) (17, 2) (5, 1) (27, 3) 
geteilte	(20, 2) 
gets	(26, 1) 
getting	(2, 1) (23, 1) (21, 1) (6, 2) (17, 1) 
gettysburg	(21, 8) 
gg	(10, 1) 
gh	(5, 5) 
ghettos	(2, 1) 
giant	(26, 1) (10, 5) 
giant-cell	(2, 1) 
gibraltar	(10, 1) (22, 2) (21, 1) 
gibson	(24, 1) 
gifts	(17, 1) (23, 1) 
giganteum	(26, 1) 
gijs	(25, 2) 
gilbert	(17, 2) (22, 1) 
gillmore	(21, 1) 
gills	(26, 1) 
giorgio-class	(12, 1) (13, 1) 
girl	(16, 1) (17, 1) 
girlfriend	(17, 1) 
girls	(24, 1) 
giulio	(3, 1) (8, 1) 
giuseppe	(17, 1) (13, 2) (9, 1) (12, 2) 
give	(17, 3) (26, 1) (2, 4) (20, 1) (21, 1) (24, 1) (9, 1) (19, 1) (7, 1) 
given	(21, 2) (26, 2) (5, 1) (17, 6) (27, 2) (12, 3) (20, 1) (8, 2) (10, 1) (22, 1) (9, 1) (16, 1) (15, 1) (24, 1) (13, 3) (11, 1) (4, 1) (23, 2) 
gives	(21, 1) (9, 1) 
giving	(23, 3) (25, 1) (17, 2) (12, 1) (27, 1) (20, 1) (21, 2) (24, 1) (13, 1) 
gl	(27, 1) 
glacier	(10, 2) 
gladly	(17, 1) 
glamorgan	(28, 1) 
gland	(26, 3) 
glands	(26, 8) 
glane	(20, 1) 
glass	(26, 1) 
glaubens	(2, 1) 
gleeful	(21, 1) 
glide	(3, 1) (13, 1) (12, 1) 
glider	(10, 11) (5, 2) (4, 1) 
glider-based	(10, 1) 
glider-borne	(10, 2) 
gliders	(10, 9) (4, 1) (27, 1) (5, 4) 
glideslope	(12, 1) (13, 1) 
gliding	(26, 1) 
glimpse	(17, 1) 
global	(17, 1) (13, 1) (12, 1) (4, 3) (9, 1) (25, 3) (26, 1) (2, 1) 
globaleye	(9, 1) 
globally	(18, 1) 
globemaster	(15, 2) 
glorieta	(21, 1) 
glorious	(12, 1) (13, 1) (25, 1) 
glossary	(8, 1) 
gloster	(8, 1) 
gloucester	(28, 2) 
gmc	(27, 1) 
gncs	(27, 1) 
gneis-2	(9, 1) 
go	(8, 1) (21, 1) (2, 1) (23, 1) (17, 3) (27, 1) (26, 1) (20, 1) 
goal	(2, 5) (21, 5) (4, 1) (24, 2) (17, 1) 
goalkeeper	(28, 2) (27, 1) 
goals	(21, 3) (2, 3) (19, 1) (24, 1) 
goalssignificant	(19, 1) 
goalthe	(20, 1) 
god	(2, 2) (17, 5) 
goddess	(26, 1) 
goebbels	(17, 1) (2, 5) 
goertz	(27, 1) 
goes	(22, 1) 
goguryeo	(23, 2) 
going	(21, 2) (10, 1) (27, 1) (26, 2) 
golan	(8, 1) (27, 1) 
gold	(22, 1) (2, 1) (23, 1) (17, 1) (16, 1) (20, 1) (24, 2) 
golden	(23, 1) (17, 1) 
gone	(21, 3) 
gongylidia	(26, 1) 
gonzague	(17, 1) 
good	(26, 2) (27, 2) (2, 1) (22, 2) (19, 1) (12, 1) (20, 1) (8, 1) (6, 2) (11, 1) (13, 1) 
goods	(21, 1) (15, 1) (25, 2) 
goodthis	(17, 1) 
gordon	(21, 1) 
gorka	(19, 2) 
gorodok	(19, 1) 
gorshkov-class	(28, 1) 
got	(21, 1) (2, 1) (8, 1) 
gotha	(27, 1) 
gothic	(26, 1) 
gotland	(13, 1) (12, 1) 
gotthard	(2, 1) 
gough	(19, 1) 
goughs	(19, 1) 
govern	(2, 1) (23, 1) 
governance	(2, 1) 
governed	(2, 1) (27, 1) (7, 1) (19, 1) 
government	(19, 21) (27, 2) (2, 24) (17, 5) (8, 2) (21, 27) (28, 2) (22, 6) (7, 1) (23, 2) (20, 5) (10, 2) (13, 1) (11, 2) (12, 1) (24, 3) 
governmental	(2, 1) (23, 3) 
governmentby	(21, 1) 
governments	(21, 1) (19, 3) (15, 1) (2, 1) (22, 1) (20, 1) 
governmentthe	(19, 1) 
governor	(20, 5) (21, 4) (23, 2) (22, 1) 
governor-general	(2, 1) 
governorates	(19, 1) 
governors	(21, 4) (20, 1) (23, 1) 
gp	(20, 1) 
gr	(17, 1) 
grabbing	(26, 1) 
grabscromwell	(25, 1) 
graceful	(1, 1) 
grade	(17, 1) (16, 5) 
gradevenezuelathe	(16, 1) 
gradienttimeline	(4, 1) 
gradual	(21, 1) (23, 1) (17, 1) 
gradually	(19, 1) (2, 1) (1, 1) (29, 1) (26, 1) (30, 1) 
graduated	(17, 1) 
graduates	(26, 1) (5, 1) 
graduating	(17, 2) 
graduation	(17, 1) (16, 1) 
grafton	(10, 1) 
grain	(24, 1) (21, 2) 
gran	(10, 1) (5, 1) 
granada	(22, 1) 
granary	(2, 1) 
grand	(2, 3) (20, 1) (27, 1) (21, 1) (23, 1) 
grande	(10, 1) 
grandson	(23, 1) (21, 1) 
granger	(21, 1) 
granit	(12, 1) (13, 1) 
grant	(17, 1) (21, 23) 
grantarmy	(21, 1) 
granted	(21, 1) (2, 1) (19, 1) (20, 4) (17, 2) (23, 1) (25, 1) 
granting	(20, 1) 
grants	(21, 3) 
graphic	(2, 1) (23, 1) 
grasp	(26, 1) 
grass	(26, 1) (15, 1) 
grasshopper	(26, 1) 
grave	(2, 1) 
gravel	(17, 1) 
graves	(24, 1) 
graveyards	(1, 1) 
gravitation	(17, 11) 
gravitational	(17, 23) 
gravity	(17, 2) (3, 1) (6, 1) (14, 1) 
graz	(2, 2) 
great	(2, 4) (17, 6) (21, 6) (10, 5) (22, 3) (30, 2) (24, 24) (27, 4) (8, 1) (29, 1) (23, 4) (20, 1) (19, 2) (6, 1) (12, 1) (5, 1) (7, 1) (25, 5) (3, 1) (13, 1) 
greater	(13, 3) (2, 2) (9, 1) (21, 4) (17, 2) (24, 5) (8, 2) (5, 1) (12, 3) (15, 1) (25, 1) (26, 2) 
greatest	(26, 1) (10, 3) (2, 1) (17, 3) (21, 2) (6, 1) 
greatking	(24, 1) 
greatly	(24, 1) (26, 2) (23, 1) (30, 1) (10, 1) (21, 2) (8, 1) 
greatness	(25, 1) 
greats	(24, 1) 
greaves	(24, 2) 
greco-persian	(24, 2) 
greco-roman	(24, 1) 
greece	(24, 7) (2, 1) (18, 2) 
greece71st	(5, 1) 
greecein	(24, 1) 
greek	(24, 30) (26, 2) (19, 4) (1, 1) 
greeks	(24, 7) (19, 2) 
greeley	(21, 1) 
greeleys	(21, 1) 
green	(27, 1) (2, 1) (26, 3) (7, 1) 
greenhill	(24, 2) 
greenhouse	(2, 1) 
greenland	(26, 1) 
greenorganizationwhile	(27, 1) 
greenwich	(22, 1) 
greenwood	(19, 1) 
greeted	(19, 1) (17, 1) (2, 1) 
greeting	(2, 1) 
gregor	(2, 3) 
greiser	(2, 4) 
grenada	(10, 1) 
grenade	(29, 1) 
grenade-like	(3, 1) 
grenadeanti-tank	(30, 1) 
grenades	(3, 3) (27, 1) (1, 1) 
grenzlandes	(20, 1) 
grew	(27, 2) (19, 1) (21, 1) (25, 1) (24, 3) (14, 1) (22, 1) 
grievance	(21, 2) 
grigory	(19, 1) 
grizzled	(26, 1) 
grizzlythe	(28, 1) 
gross	(25, 1) 
grossly	(23, 1) 
grossman	(17, 1) 
grossmann	(17, 1) 
grossmanns	(17, 1) 
ground	(25, 1) (21, 2) (9, 4) (6, 1) (4, 6) (13, 1) (26, 6) (22, 4) (10, 15) (27, 23) (5, 7) (23, 1) (8, 12) (14, 4) (24, 3) (7, 3) (12, 1) (15, 3) 
ground-attack	(13, 1) (12, 1) 
ground-based	(9, 3) (27, 9) (5, 1) (7, 1) (8, 3) 
ground-to-air	(27, 1) 
ground-used	(27, 1) 
groundbreaking	(17, 1) 
grounds	(17, 1) (21, 1) (10, 1) (20, 1) (2, 1) (19, 1) 
groundwork	(21, 2) 
group	(19, 2) (27, 1) (10, 11) (12, 6) (17, 3) (26, 8) (2, 4) (13, 6) (8, 2) (23, 1) (24, 1) 
groupe	(5, 1) 
grouped	(10, 1) (27, 1) 
groupfuturethe	(12, 1) (13, 1) 
groupin	(5, 1) 
groups	(13, 1) (21, 2) (15, 1) (27, 1) (10, 7) (17, 2) (12, 1) (24, 2) (20, 1) (2, 3) (18, 1) (26, 4) (23, 1) (7, 1) 
groupthere	(13, 1) (12, 1) 
grow	(24, 1) (26, 2) 
growing	(25, 2) (27, 2) (4, 1) (21, 1) (24, 1) (28, 1) (2, 2) 
grown	(13, 1) (21, 1) (12, 1) 
grows	(27, 1) (26, 2) 
growth	(26, 1) (25, 3) (23, 1) 
grumman	(9, 4) (8, 1) 
grün	(2, 2) 
gsh-6-30	(27, 1) 
guadalupe	(21, 1) 
guang	(23, 1) 
guangbi	(23, 3) 
guangbis	(23, 1) 
guangchen	(23, 1) 
guangping	(23, 1) 
guangxi	(12, 1) (13, 1) 
guangyuan	(23, 1) 
guangzhou	(23, 2) 
guanzhong	(23, 1) 
